gender	word	n	log_odds_weighted	corpus
MALE	zuvörderst	34	3.1465888096318704	ger
MALE	gregoriwiesen	33	3.0999697628988065	ger
MALE	ergo	32	3.0526388669914772	ger
MALE	exlenz	32	3.0526388669914772	ger
MALE	hauptleute	32	3.0526388669914772	ger
MALE	hehehe	32	3.0526388669914772	ger
MALE	jobst	32	3.0526388669914772	ger
MALE	parlaments	32	3.0526388669914772	ger
MALE	philto	32	3.0526388669914772	ger
MALE	sackerlot	32	3.0526388669914772	ger
MALE	weser	32	3.0526388669914772	ger
MALE	buttler	31	3.004562480801657	ger
MALE	harold	31	3.004562480801657	ger
MALE	kotz	31	3.004562480801657	ger
MALE	michelangelo	31	3.004562480801657	ger
MALE	zunft	31	3.004562480801657	ger
MALE	angeführt	30	2.955704226949753	ger
MALE	pereat	30	2.955704226949753	ger
MALE	seuche	30	2.955704226949753	ger
MALE	hm	1252	2.9285756212003657	ger
MALE	bestätigung	29	2.9060246696767744	ger
MALE	entente	29	2.9060246696767744	ger
MALE	eversmann	29	2.9060246696767744	ger
MALE	gezahlt	29	2.9060246696767744	ger
MALE	harrison	29	2.9060246696767744	ger
MALE	kchch	29	2.9060246696767744	ger
MALE	kolossal	29	2.9060246696767744	ger
MALE	lützows	29	2.9060246696767744	ger
MALE	maskarill	29	2.9060246696767744	ger
MALE	sigismund	29	2.9060246696767744	ger
MALE	skaramuz	29	2.9060246696767744	ger
MALE	wai	29	2.9060246696767744	ger
MALE	alstern	28	2.8554809422801153	ger
MALE	bachus	28	2.8554809422801153	ger
MALE	burgemeester	28	2.8554809422801153	ger
MALE	europäer	28	2.8554809422801153	ger
MALE	ganghofer	28	2.8554809422801153	ger
MALE	harder	28	2.8554809422801153	ger
MALE	hussein	28	2.8554809422801153	ger
MALE	känn	28	2.8554809422801153	ger
MALE	mago	28	2.8554809422801153	ger
MALE	ruggieri	28	2.8554809422801153	ger
MALE	silentium	28	2.8554809422801153	ger
MALE	tum	28	2.8554809422801153	ger
MALE	majestät	1201	2.8173019966679185	ger
MALE	sache	2147	2.8073956966835554	ger
MALE	bauten	27	2.8040263140836084	ger
MALE	esser	27	2.8040263140836084	ger
MALE	fraktion	27	2.8040263140836084	ger
MALE	italienischen	27	2.8040263140836084	ger
MALE	kriegsminister	27	2.8040263140836084	ger
MALE	marmotte	27	2.8040263140836084	ger
MALE	österreicher	27	2.8040263140836084	ger
MALE	rickchen	27	2.8040263140836084	ger
MALE	rösen	27	2.8040263140836084	ger
MALE	rosenmontag	27	2.8040263140836084	ger
MALE	rudorff	27	2.8040263140836084	ger
MALE	serbien	27	2.8040263140836084	ger
MALE	trilinikiner	27	2.8040263140836084	ger
MALE	könig	3117	2.7618082668737713	ger
MALE	gherardesca	26	2.751609684496554	ger
MALE	hauptquartier	26	2.751609684496554	ger
MALE	penelopeia	26	2.751609684496554	ger
MALE	propaganda	26	2.751609684496554	ger
MALE	publius	26	2.751609684496554	ger
MALE	rallalala	26	2.751609684496554	ger
MALE	ridirididi	26	2.751609684496554	ger
MALE	rothenburg	26	2.751609684496554	ger
MALE	sauf	26	2.751609684496554	ger
MALE	teck	26	2.751609684496554	ger
MALE	tjä	26	2.751609684496554	ger
MALE	traumulus	26	2.751609684496554	ger
MALE	verteufelt	26	2.751609684496554	ger
MALE	absolute	25	2.6981749885710737	ger
MALE	allns	25	2.6981749885710737	ger
MALE	anarchisten	25	2.6981749885710737	ger
MALE	dworschak	25	2.6981749885710737	ger
MALE	geistlichkeit	25	2.6981749885710737	ger
MALE	halloh	25	2.6981749885710737	ger
MALE	hochfeld	25	2.6981749885710737	ger
MALE	hochverräter	25	2.6981749885710737	ger
MALE	kgf	25	2.6981749885710737	ger
MALE	malerei	25	2.6981749885710737	ger
MALE	marina	25	2.6981749885710737	ger
MALE	mort	25	2.6981749885710737	ger
MALE	publikums	25	2.6981749885710737	ger
MALE	schwoger	25	2.6981749885710737	ger
MALE	simba	25	2.6981749885710737	ger
MALE	tock	25	2.6981749885710737	ger
MALE	vinzenz	25	2.6981749885710737	ger
MALE	zensur	25	2.6981749885710737	ger
MALE	bouteille	24	2.643660494367443	ger
MALE	claudia	24	2.643660494367443	ger
MALE	kadidja	24	2.643660494367443	ger
MALE	merker	24	2.643660494367443	ger
MALE	nymphas	24	2.643660494367443	ger
MALE	österreichischen	24	2.643660494367443	ger
MALE	pipin	24	2.643660494367443	ger
MALE	samiel	24	2.643660494367443	ger
MALE	thuschen	24	2.643660494367443	ger
MALE	vorlage	24	2.643660494367443	ger
MALE	volk	1975	2.6325392024317247	ger
MALE	äußerung	23	2.587997967039582	ger
MALE	avecque	23	2.587997967039582	ger
MALE	bellermann	23	2.587997967039582	ger
