id	name	playName	normalizedGenre	libretto	firstAuthor	title	subtitle	numOfCoAuthors	maxDegreeIds	numOfSegments	numOfActs	numOfSpeakers	numOfSpeakersMale	numOfSpeakersFemale	numOfSpeakersUnknown	numOfPersonGroups	numOfP	numOfL	wikipediaLinkCount	wordCountText	wordCountSp	wordCountStage	yearWritten	yearPremiered	yearPrinted	yearNormalized	averageDegree	density	averageClustering	size	maxDegree	numConnectedComponents	diameter	averagePathLength	corpus
fre000774	hugues-boite-a-musique	hugues-boite-a-musique	Comedy	FALSE	Hugues	La Boite A Musique	Comédie	0	noemie	14	0	18	2	3	13	0	0	564	NA	4701	4519	207	NA	NA	1906	1906	10.222222222222221	0.6013071895424836	0.9094251336898397	18	17	1	2	1.3986928104575163	fre
fre000775	hugues-cendrillon	hugues-cendrillon	Comedy	FALSE	Hugues	Cendrillon	Comédie	0	several characters	14	0	12	4	3	5	0	0	661	NA	5542	5395	286	NA	NA	1906	1906	9	0.8181818181818182	0.9272727272727272	12	11	1	2	1.1818181818181819	fre
fre000776	hugues-maison-du-dimanche	hugues-maison-du-dimanche	Comedy	FALSE	Hugues	La Maison des Dimanches	Comédie	0	fanny	7	0	13	5	3	5	0	0	458	NA	3719	3520	205	NA	NA	1906	1906	8.76923076923077	0.7307692307692307	0.9223776223776224	13	12	1	2	1.2692307692307692	fre
fre000777	hugues-nuit-moliere	hugues-nuit-moliere	Comedy	FALSE	Hugues	Une Nuit de Molière	Comédie en un Acte et en vers	0	la-muse|moliere	2	1	2	1	1	0	0	0	322	NA	3380	2898	96	NA	NA	1879	1879	1	1	0	2	1	1	1	1	fre
fre000778	hugues-tyl	hugues-tyl	Comedy	FALSE	Hugues	Tyl l'Espiegle	Comédie	0	several characters	10	0	16	2	1	13	0	0	682	NA	6174	5986	454	NA	NA	1906	1906	11.375	0.7583333333333333	0.9062271062271061	16	15	1	2	1.2416666666666667	fre
fre000779	hus-ingenu	hus-ingenu	NA	FALSE	Hus	L'Ingénu, ou Le Sauvage du Canada	Pantomime en Deux Actes	0	kerkabon	24	0	7	2	2	3	0	27	24	NA	5702	1559	5058	NA	NA	1805	1805	3.142857142857143	0.5238095238095238	0.6571428571428571	7	5	2	2	1.2666666666666666	fre
fre000780	imbert-inauguration	imbert-inauguration	Comedy	FALSE	Imbert	L'Inauguration du Théâtre Français	Piece en un Acte et en vers	0	apollon	9	1	12	4	4	4	0	0	477	NA	4336	4087	202	NA	1782-04-09	1782	1782	5.666666666666667	0.5151515151515151	0.7866402116402115	12	10	1	3	1.5151515151515151	fre
fre000781	imbert-poinsinet-moliere	imbert-poinsinet-moliere	NA	FALSE	Imbert	Poinsinet et Molière	Dialogue	0	poinsinet|moliere	1	1	2	2	0	0	0	0	258	NA	2222	1808	0	NA	1782-04-09	1772	1772	1	1	0	2	1	1	1	1	fre
fre000782	jacquelin-philidor-pradon	jacquelin-philidor-pradon	Comedy	FALSE	Jaquelin	Pradon, Sifflé, Battu et Content	Comédie Anecdote, en un Acte et en Vaudevilles	1	several characters	14	1	6	4	1	1	0	183	315	NA	5706	5495	230	NA	1799-10-02	1800	1799	4.666666666666667	0.9333333333333333	0.9333333333333332	6	5	1	2	1.0666666666666667	fre
fre000783	jaquelin-soliman	jaquelin-soliman	Tragedy	FALSE	Jaquelin	Soliman	Ou l'Esclave Généreuse.	1	soliman	24	0	10	7	2	1	0	0	2095	NA	18615	18347	9	NA	NA	1653	1653	4.2	0.4666666666666667	0.7066666666666668	10	9	1	2	1.5333333333333334	fre
fre000784	jarry-ubu-roi	jarry-ubu-roi	NA	FALSE	Jarry	Ubu Roi	Drame en 5 Actes	0	pere-ubu	33	0	71	16	1	54	0	694	60	23	14185	13523	929	NA	1888	1896	1888	13.04225352112676	0.186317907444668	0.8794614125664848	71	61	1	4	1.8837022132796781	fre
fre000785	jeannet-moliere-en-menage	jeannet-moliere-en-menage	Comedy	FALSE	Jeannet	Molière en Ménage	Comédie en un Acte et en vers	0	bouillot|drapelard	18	1	16	8	1	7	0	0	874	NA	7308	7126	62	NA	1855-11-11	1856	1855	7	0.4666666666666667	0.7820797258297258	16	11	1	3	1.7666666666666666	fre
fre000786	jodelle-cleopatre	jodelle-cleopatre	Tragedy	FALSE	Jodelle	Cléopâtre Captive	Tragédie	0	le-choeur	7	0	11	6	1	4	0	0	1646	NA	10767	10552	34	NA	NA	1574	1574	3.6363636363636362	0.36363636363636365	0.6935064935064935	11	8	3	2	1.4444444444444444	fre
fre000787	jodelle-didon	jodelle-didon	Tragedy	FALSE	Jodelle	Didon se Sacrifiant	Tragédie	0	enee|achate	5	0	9	5	2	2	0	0	2370	NA	21773	21560	0	NA	NA	1574	1574	4.888888888888889	0.6111111111111112	0.8380952380952381	9	7	1	3	1.4722222222222223	fre
fre000788	jodelle-eugene	jodelle-eugene	Comedy	FALSE	Jodelle	L'Eugène	Comédie	0	several characters	20	1	10	7	2	1	0	0	1966	NA	12458	12159	3	NA	NA	1574	1574	6.4	0.7111111111111111	0.8428571428571427	10	8	2	2	1.1111111111111112	fre
fre000789	joliet-moliere	joliet-moliere	NA	FALSE	Joliet	Molière	Stances dites à la Comédie Française	0	la-grande-comedie|la-comedie-legere	1	0	2	0	2	0	0	0	70	NA	544	490	26	NA	NA	1879	1879	1	1	0	2	1	1	1	1	fre
fre000790	joly-adrienne-lecouvreur	joly-adrienne-lecouvreur	NA	FALSE	Joly	Adrienne Legouvreur	Etude Historique en vers	0	adrienne	1	0	1	0	0	1	0	2	168	NA	1856	1811	202	NA	NA	1863	1863	0	0	0	1	0	1	0	0	fre
fre000791	joly-cinq-mars	joly-cinq-mars	NA	FALSE	Joly	Cinq Mars et Richelieu	(1642)	0	cinq-mars|l-ouvrier	1	0	2	1	0	1	0	4	191	NA	1934	1850	215	NA	1817-09-16	1863	1817	1	1	0	2	1	1	1	1	fre
fre000792	joly-fouquet-a-la-bastille	joly-fouquet-a-la-bastille	NA	FALSE	Joly	Fouquet à la Bastille	Monologue Dramatique en vers	0	fouquet	1	0	1	0	0	1	0	1	166	NA	1554	1510	78	NA	NA	1863	1863	0	0	0	1	0	1	0	0	fre
fre000793	joly-moliere	joly-moliere	NA	FALSE	Joly	Molière	(17 février 1673)	0	mademoiselle-moliere|le-marquis|moliere	3	0	3	1	1	1	0	0	209	NA	2010	1882	128	NA	1817-09-16	1863	1817	2	1	1	3	2	1	1	1	fre
fre000794	joly-salomon	joly-salomon	NA	FALSE	Joly	Salomon de Caus A Bicêtre	Monologue Dramatique	0	solomon	1	0	1	0	0	1	0	0	102	NA	890	816	59	NA	NA	1863	1863	0	0	0	1	0	1	0	0	fre
fre000795	kolb-soubrette-de-moliere	kolb-soubrette-de-moliere	NA	FALSE	Kolb	La Soubrette de Molière	A-Propos en vers	0	la-soubrette	1	1	1	0	1	0	0	0	93	NA	923	855	47	NA	NA	1898	1898	0	0	0	1	0	1	0	0	fre
fre000815	l-affichard-acteurs-deplaces	l-affichard-acteurs-deplaces	Comedy	FALSE	L'Affichard	Les Acteurs Déplacés l'Amant Comedien	Comédie en un Acte avec un Prologue et un Divertissement.	0	le-petit-garçon|monsieur-poisson|la-petite-fille	26	2	24	9	9	6	0	449	277	NA	10723	9671	131	NA	1735-10-14	1737	1735	7	0.30434782608695654	0.8283670033670033	24	11	3	3	1.2477064220183487	fre
fre000884	l-estoile-belle-esclave	l-estoile-belle-esclave	Comedy	FALSE	L'Estoile	La Belle Esclave	Tragi-Comédie	0	several characters	21	0	7	4	2	1	0	0	1671	NA	17513	15044	33	NA	NA	1643	1643	4	0.6666666666666666	0.7142857142857143	7	5	1	3	1.380952380952381	fre
fre000885	l-estoile-intrigue-des-filous	l-estoile-intrigue-des-filous	Comedy	FALSE	L'Estoile	L'Intrigue des Filous	Comédie	0	beronte	31	0	10	6	4	0	0	0	1786	NA	19500	17021	255	NA	NA	1648	1648	4.6	0.5111111111111111	0.8280952380952382	10	7	1	3	1.6222222222222222	fre
