char_id	d
33329	243.21347577247693
3707	181.70562729848817
3710	191.7328374557852
3711	160.8186146383543
3715	150.59590248594685
3718	183.0632204324295
3720	182.77383599214477
3723	172.01011464907953
3725	173.8842652738691
3727	182.32466885968026
1	185.65410760513174
19255	242.2158862790916
19271	162.29415926187093
19297	190.06717700931026
33346	257.36177721087034
33347	252.83763198273058
33348	254.96153637018466
33349	210.99029290919913
33350	232.13653697965208
33352	238.1828134340352
3773	161.11567969577465
3796	122.77435971394326
3812	188.47808252610383
3817	180.2253080553499
19311	132.15432511595603
12	234.1035912665072
26	167.18894284618355
40	236.4310164351197
41	182.5377494730348
47	243.1540299596005
19319	149.3246963884334
3835	107.3001548225155
3853	192.0034530623704
3911	110.38904259770628
33376	195.2653913463146
33377	184.5210810380896
33383	252.59721909528236
33388	240.2466483167817
19379	165.47944069848054
19381	195.04773742250154
19382	192.29689361411158
19383	196.0538562917342
19392	257.27968060597203
19393	178.8432038626486
19396	214.84549957848952
19404	283.9476953482967
19416	203.5974668726212
19428	220.10579319655545
19429	229.03439322714073
19441	159.63360719291936
19444	190.86708050440225
19463	282.39819277710745
19464	263.2973686382692
19483	175.48099005456478
19487	237.3134192296151
4075	120.03589170101034
4106	142.93159333473037
4120	119.98492792189171
4138	134.17673214559753
4145	153.31235263319476
4159	172.06492365922833
4160	173.60809741607272
4161	184.5620015646461
19519	196.3101375320621
19525	260.1602729706262
19531	313.52443706917575
19532	277.56227537554315
19562	297.983363208666
19598	260.37771993023273
19607	288.2954233236015
19608	270.2292901549029
19668	160.5135453086167
63	224.73215770519525
65	237.4568345713812
70	183.90424588798328
33449	247.7667970614349
33454	251.52198225433847
33455	176.66701549033505
33456	275.13776869980035
4218	165.89481214249213
4220	197.9010373533427
4205	167.2820806460717
4207	202.2259537962658
4208	226.42671204104724
4211	208.32287863794673
4243	163.6442475229473
19686	199.10246780157476
4286	230.79207363853172
4293	243.20286652164882
4295	179.6600587383811
4297	234.90906823996224
4308	177.38294298622696
4317	215.53342411593383
4320	247.44393387807148
4322	230.6216760105838
19707	219.5590335649638
19709	240.97779421719886
19803	201.91703322497887
19819	189.913744902073
19823	198.9267192374756
19828	206.4076420312322
4329	157.25065086123936
4338	179.2653985559072
19835	202.17328305796542
19836	156.9951442595626
19854	197.33883803340478
19856	184.1291652919955
19879	304.7691952405755
19894	312.60196160096956
19956	280.94603600500045
19964	345.83868078664034
20041	191.6679820085901
20049	186.12719339203997
20052	177.8159897346298
20057	158.09153878643986
20058	176.86906185512424
20059	185.91328791186282
4361	149.3072519829599
4403	151.69433261517653
4425	187.41919733831188
4426	161.74007377623025
4428	189.52696863296518
4430	206.79847516683
20068	172.16067108057194
20073	244.17057120410416
4439	229.59972456323467
4440	259.62189703158094
4441	238.5417929553613
4442	251.90808562076757
4443	208.59391028035137
4445	223.21081295635759
4460	164.8867593780002
4463	185.17377442516013
4465	173.96611545113709
4472	161.09448044535623
4474	197.75154053122375
4475	176.80578456798548
4479	144.99400705740663
4482	168.32391340201983
4485	165.53604965672642
4487	175.59616090004639
4491	181.78654327396808
4503	192.56109152468161
4504	196.13180752193108
4520	223.17227155553073
4523	178.55662284331171
4558	145.1657709582358
20090	217.90581258485523
20096	197.88779580148332
20098	160.44837851250378
20103	171.8525161836199
20107	209.4272357336446
20112	203.482605907166
20113	164.89578255836858
4570	143.1524074958584
4575	210.04511420798076
4576	174.60156196342658
4577	199.0944748051893
4581	217.01855835943277
4586	185.25579538590353
4587	188.92434047774634
4588	200.46719114316602
4589	167.32000013819558
4613	190.9295929135306
4615	198.35713150682827
4636	162.1235985073617
4653	204.6823315835528
4656	249.0489147823831
4661	248.02899943212265
4663	246.70739490270432
4664	208.97572002834312
4676	159.83294668237318
4679	167.73090445749162
4689	112.7721847142665
20123	129.68956779211368
20139	190.29919138317027
20144	249.34717062804145
20148	238.25689143201978
20156	281.52040802422493
20195	154.03499801546818
20207	170.89057208322185
