,id,Char,Play,VocabSz,PctVocab,PctDialog,VersusSelf5,VersusSelf25,VersusSelf50,VersusSelf75,VersusSelf95,VersusOther5,VersusOther25,VersusOther50,VersusOther75,VersusOther95,gender,yearNormalized,firstAuthor,corpus
0,33329,Nick Bottom,a-midsummer-night-s-dream,1661,50.090470446320865,12.331865981902666,0.015934674081571638,0.02062161760829775,0.023382716495754033,0.02663377824586207,0.03511683143066265,0.15814022388696786,0.17216240422619197,0.1790461713968323,0.1859255107481945,0.20132921267158652,MALE,1595,Shakespeare,shake
1,33346,Countess,all-s-well-that-ends-well,1728,50.49678550555231,9.456483949472707,0.01560611329376823,0.02004258117999091,0.022920714846437835,0.026591030195388294,0.03313908241340697,0.11973169400165398,0.13277647278882693,0.140263978095842,0.14688516218206246,0.16026180612852703,FEMALE,1605,Shakespeare,shake
2,33347,Bertram,all-s-well-that-ends-well,1717,50.175336060783174,8.952815639569609,0.015094297568842799,0.019690099974194124,0.022681014508395343,0.02616368122220846,0.035656455973511664,0.11855046072246035,0.13283820177627595,0.13949107374304318,0.14659651277299485,0.1618018210100896,MALE,1605,Shakespeare,shake
3,33348,Lafew,all-s-well-that-ends-well,1823,53.2729398012858,9.72748424365066,0.014831768019227825,0.019716104960178803,0.02249197125060647,0.02620281913671526,0.03491100998963899,0.08948821529128326,0.10294017144235669,0.10959711603029178,0.11608871573188016,0.12946536323569463,MALE,1605,Shakespeare,shake
4,33349,Helen,all-s-well-that-ends-well,2105,61.51373465809468,15.809836240940655,0.015407862450571685,0.020017000338449706,0.023451084334002264,0.02687215413810084,0.03479339816747452,0.0594133744142631,0.07157348864875011,0.0778245477050431,0.08522206383543608,0.09980303544657661,FEMALE,1605,Shakespeare,shake
5,33350,Parolles,all-s-well-that-ends-well,2043,59.70192869666862,13.336958556566856,0.015407862450571767,0.020254498481780767,0.023231568573175692,0.026693599641541232,0.03601865327441403,0.06188587488929998,0.07232361601183113,0.07907420914921204,0.0857773924439851,0.09726894286662312,MALE,1605,Shakespeare,shake
6,33352,King,all-s-well-that-ends-well,2005,58.591466978375216,12.662132166130313,0.015374572107499668,0.019957184195165255,0.023275637348614767,0.026935636754653297,0.03639601981751088,0.06241898094598696,0.07451725283698062,0.0814762608000209,0.08825441918291803,0.10080595220751877,MALE,1605,Shakespeare,shake
7,33376,Cleopatra,antony-and-cleopatra,2378,67.67216846898123,19.305098515497416,0.014677059713406514,0.019855166240765363,0.023216935747718954,0.027128913574986792,0.03573440444471776,0.041653214487266874,0.05516078012607116,0.06261964992905714,0.07001494541148306,0.08512961000928053,FEMALE,1606,Shakespeare,shake
8,33377,Antony,antony-and-cleopatra,2556,72.73762094479225,24.851672834997824,0.014387279066322712,0.019830678873288876,0.02329354801329665,0.027473007139777336,0.036748886641679884,0.02667738564657476,0.03738249715121916,0.043743318207266214,0.04958486400597496,0.06302699518892575,MALE,1606,Shakespeare,shake
9,33383,Enobarbus Domitius,antony-and-cleopatra,2004,57.029026750142286,10.334074627233115,0.01495039901714715,0.019434685348849023,0.022494106824552645,0.02627978686537313,0.03508488334074539,0.07055877688123635,0.08205663436623782,0.08827178154474637,0.09542592668258854,0.10615103728425426,MALE,1606,Shakespeare,shake
10,33388,Octavius Caesar,antony-and-cleopatra,2174,61.866818440523616,12.257609204080126,0.014874370341914607,0.019674884482007448,0.022673402717179273,0.026949210248723314,0.03543399525617161,0.04319559695164546,0.05478069170411355,0.06158687124714206,0.06774821212259079,0.07887017046114207,MALE,1606,Shakespeare,shake
11,33449,Orlando,as-you-like-it,1748,52.132418729495974,10.947655877374283,0.015404916874613777,0.020077581484887204,0.023132382260262742,0.026821744295755554,0.03496415362899575,0.1158309740484265,0.13017774163469711,0.1368569186564053,0.14495341656149394,0.15751045604458708,MALE,1599,Shakespeare,shake
12,33454,Celia,as-you-like-it,1770,52.78854756934089,9.91330533915662,0.01587132084181345,0.020006573016699475,0.023300954350879376,0.02692765485307646,0.03533865372764358,0.0965893734144269,0.11103197416633624,0.1176338101582642,0.12490398340003829,0.13759713614433466,FEMALE,1599,Shakespeare,shake
13,33455,Rosalind,as-you-like-it,2391,71.30927527587235,26.119689133708047,0.015439521748338446,0.020782882660524082,0.023963387326693352,0.027696240420504455,0.03609078319691223,0.04768489723274234,0.061100713070321534,0.06872224664833551,0.07570372556256534,0.08941244655199862,FEMALE,1599,Shakespeare,shake
14,33456,Touchstone,as-you-like-it,1788,53.32538025648673,10.889672393315065,0.015622786583607311,0.020332908498728625,0.023101600633506865,0.026821744295755543,0.0358980340550697,0.09818225566392041,0.11077693256441068,0.11696499566328598,0.12441736581957123,0.1377909295647053,MALE,1599,Shakespeare,shake
15,33480,Menenius,coriolanus,2231,64.5357246167197,15.949586497642375,0.015631190148806755,0.019839662365614356,0.023328718719879613,0.02694389591482797,0.03599965099474472,0.041550024578479484,0.05335723367159426,0.059631350774545025,0.06620134064155923,0.07992390561558509,MALE,1608,Shakespeare,shake
16,33481,Martius Coriolanus,coriolanus,2574,74.45762221579403,24.232119511729366,0.01563119014880682,0.020331250669141623,0.02340034528916023,0.027362993555997653,0.036808732937429874,0.017747019554732915,0.024592897086297118,0.029145829835834643,0.03407475689355448,0.04452099047167142,MALE,1608,Shakespeare,shake
17,33489,Aufidius,coriolanus,1834,53.051778999132196,7.562025353643668,0.015328482845810587,0.01931826191155802,0.022226638949723498,0.025911710357603323,0.03398623810870573,0.08491880329968894,0.09715104353740205,0.10417830936592805,0.11108951593947217,0.12424126041301353,MALE,1608,Shakespeare,shake
